persona-id,emotion-id,type,emotion,situation,age_id,sex_id
Pro_08998,S10_D02_E67,E67,안도,"['S10', 'D02']",A02,G01
Pro_11315,S04_D01_E44,E44,충격 받은,"['S04', 'D01']",A02,G01
Pro_08729,S08_D02_E38,E38,조심스러운,"['S08', 'D02']",A02,G01
Pro_08985,S10_D02_E54,E54,열등감,"['S10', 'D02']",A02,G01
Pro_11299,S04_D01_E28,E28,낙담한,"['S04', 'D01']",A02,G01
Pro_00095,S01_D02_E44,E44,충격 받은,"['S01', 'D02']",A02,G01
Pro_03579,S04_D02_E48,E48,괴로워하는,"['S04', 'D02']",A02,G01
Pro_08618,S07_D02_E47,E47,억울한,"['S07', 'D02']",A02,G01
Pro_01625,S01_D02_E14,E14,방어적인,"['S01', 'D02']",A02,G01
Pro_12463,S13_D02_E52,E52,남의 시선을 의식하는,"['S13', 'D02']",A02,G01
Pro_10611,S11_D01_E60,E60,기쁨,"['S11', 'D01']",A02,G01
Pro_05116,S04_D02_E25,E25,마비된,"['S04', 'D02']",A02,G01
Pro_05257,S05_D02_E46,E46,희생된,"['S05', 'D02']",A02,G01
Pro_08952,S10_D02_E21,E21,실망한,"['S10', 'D02']",A02,G01
Pro_07279,S09_D02_E28,E28,낙담한,"['S09', 'D02']",A02,G01
Pro_05372,S06_D02_E41,E41,질투하는,"['S06', 'D02']",A02,G01
Pro_05264,S05_D02_E53,E53,외로운,"['S05', 'D02']",A02,G01
Pro_01796,S02_D02_E65,E65,흥분,"['S02', 'D02']",A02,G01
Pro_12387,S13_D01_E36,E36,회의적인,"['S13', 'D01']",A02,G01
Pro_12415,S13_D01_E64,E64,만족스러운,"['S13', 'D01']",A02,G01
Pro_07288,S09_D02_E37,E37,걱정스러운,"['S09', 'D02']",A02,G01
Pro_03569,S04_D02_E38,E38,조심스러운,"['S04', 'D02']",A02,G01
Pro_03547,S04_D02_E16,E16,안달하는,"['S04', 'D02']",A02,G01
Pro_03582,S04_D02_E51,E51,고립된(당황한),"['S04', 'D02']",A02,G01
Pro_01762,S02_D02_E31,E31,두려운,"['S02', 'D02']",A02,G01
Pro_01786,S02_D02_E55,E55,죄책감의,"['S02', 'D02']",A02,G01
Pro_01756,S02_D02_E25,E25,마비된,"['S02', 'D02']",A02,G01
Pro_08614,S07_D02_E43,E43,고립된,"['S07', 'D02']",A02,G01
Pro_05110,S04_D02_E19,E19,성가신,"['S04', 'D02']",A02,G01
Pro_09790,S04_D02_E19,E19,성가신,"['S04', 'D02']",A02,G01
Pro_00099,S01_D02_E48,E48,괴로워하는,"['S01', 'D02']",A02,G01
Pro_03707,S05_D02_E56,E56,부끄러운,"['S05', 'D02']",A02,G01
Pro_03567,S04_D02_E36,E36,회의적인,"['S04', 'D02']",A02,G01
Pro_12133,S11_D01_E22,E22,비통한,"['S11', 'D01']",A02,G01
Pro_03679,S05_D02_E28,E28,낙담한,"['S05', 'D02']",A02,G01
Pro_07285,S09_D02_E34,E34,혼란스러운,"['S09', 'D02']",A02,G01
Pro_00318,S03_D02_E27,E27,눈물이 나는,"['S03', 'D02']",A02,G01
Pro_05361,S06_D02_E30,E30,불안,"['S06', 'D02']",A02,G01
Pro_08637,S07_D02_E66,E66,느긋,"['S07', 'D02']",A02,G01
Pro_03544,S04_D02_E13,E13,짜증내는,"['S04', 'D02']",A02,G01
Pro_09836,S04_D02_E65,E65,흥분,"['S04', 'D02']",A02,G01
Pro_03679,S05_D02_E28,E28,낙담한,"['S05', 'D02']",A02,G01
Pro_03693,S05_D02_E42,E42,배신당한,"['S05', 'D02']",A02,G01
Pro_09828,S04_D02_E57,E57,혐오스러운,"['S04', 'D02']",A02,G01
Pro_00185,S02_D02_E14,E14,방어적인,"['S02', 'D02']",A02,G01
Pro_08982,S10_D02_E51,E51,고립된(당황한),"['S10', 'D02']",A02,G01
Pro_05236,S05_D02_E25,E25,마비된,"['S05', 'D02']",A02,G01
Pro_12237,S11_D02_E66,E66,느긋,"['S11', 'D02']",A02,G01
Pro_12442,S13_D02_E31,E31,두려운,"['S13', 'D02']",A02,G01
Pro_07294,S09_D02_E43,E43,고립된,"['S09', 'D02']",A02,G01
Pro_00086,S01_D02_E35,E35,당혹스러운,"['S01', 'D02']",A02,G01
Pro_05272,S05_D02_E61,E61,감사하는,"['S05', 'D02']",A02,G01
Pro_03677,S05_D02_E26,E26,염세적인,"['S05', 'D02']",A02,G01
Pro_05399,S06_D02_E68,E68,신이 난,"['S06', 'D02']",A02,G01
Pro_08718,S08_D02_E27,E27,눈물이 나는,"['S08', 'D02']",A02,G01
Pro_05132,S04_D02_E41,E41,질투하는,"['S04', 'D02']",A02,G01
Pro_05122,S04_D02_E31,E31,두려운,"['S04', 'D02']",A02,G01
Pro_12179,S11_D01_E68,E68,신이 난,"['S11', 'D01']",A02,G01
Pro_05264,S05_D02_E53,E53,외로운,"['S05', 'D02']",A02,G01
Pro_03827,S06_D02_E56,E56,부끄러운,"['S06', 'D02']",A02,G01
Pro_07263,S09_D02_E12,E12,좌절한,"['S09', 'D02']",A02,G01
Pro_00238,S02_D02_E67,E67,안도,"['S02', 'D02']",A02,G01
Pro_11373,S04_D02_E42,E42,배신당한,"['S04', 'D02']",A02,G01
Pro_12452,S13_D02_E41,E41,질투하는,"['S13', 'D02']",A02,G01
Pro_07147,S08_D02_E16,E16,안달하는,"['S08', 'D02']",A02,G01
Pro_09805,S04_D02_E34,E34,혼란스러운,"['S04', 'D02']",A02,G01
Pro_05146,S04_D02_E55,E55,죄책감의,"['S04', 'D02']",A02,G01
Pro_01780,S02_D02_E49,E49,버려진,"['S02', 'D02']",A02,G01
Pro_11298,S04_D01_E27,E27,눈물이 나는,"['S04', 'D01']",A02,G01
Pro_09750,S04_D01_E39,E39,초조한,"['S04', 'D01']",A02,G01
Pro_01784,S02_D02_E53,E53,외로운,"['S02', 'D02']",A02,G01
Pro_03818,S06_D02_E47,E47,억울한,"['S06', 'D02']",A02,G01
Pro_08607,S07_D02_E36,E36,회의적인,"['S07', 'D02']",A02,G01
Pro_11337,S04_D01_E66,E66,느긋,"['S04', 'D01']",A02,G01
Pro_08947,S10_D02_E16,E16,안달하는,"['S10', 'D02']",A02,G01
Pro_05114,S04_D02_E23,E23,후회되는,"['S04', 'D02']",A02,G01
Pro_08855,S09_D02_E44,E44,충격 받은,"['S09', 'D02']",A02,G01
Pro_07403,S10_D02_E32,E32,스트레스 받는,"['S10', 'D02']",A02,G01
Pro_12423,S13_D02_E12,E12,좌절한,"['S13', 'D02']",A02,G01
Pro_07389,S10_D02_E18,E18,노여워하는,"['S10', 'D02']",A02,G01
Pro_10600,S11_D01_E49,E49,버려진,"['S11', 'D01']",A02,G01
Pro_09814,S04_D02_E43,E43,고립된,"['S04', 'D02']",A02,G01
Pro_05230,S05_D02_E19,E19,성가신,"['S05', 'D02']",A02,G01
Pro_12127,S11_D01_E16,E16,안달하는,"['S11', 'D01']",A02,G01
Pro_01790,S02_D02_E59,E59,혼란스러운(당황한),"['S02', 'D02']",A02,G01
Pro_03596,S04_D02_E65,E65,흥분,"['S04', 'D02']",A02,G01
Pro_08834,S09_D02_E23,E23,후회되는,"['S09', 'D02']",A02,G01
Pro_08581,S07_D02_E10,E10,분노,"['S07', 'D02']",A02,G01
Pro_03690,S05_D02_E39,E39,초조한,"['S05', 'D02']",A02,G01
Pro_05387,S06_D02_E56,E56,부끄러운,"['S06', 'D02']",A02,G01
Pro_05355,S06_D02_E24,E24,우울한,"['S06', 'D02']",A02,G01
Pro_05275,S05_D02_E64,E64,만족스러운,"['S05', 'D02']",A02,G01
Pro_03597,S04_D02_E66,E66,느긋,"['S04', 'D02']",A02,G01
Pro_08710,S08_D02_E19,E19,성가신,"['S08', 'D02']",A02,G01
Pro_08874,S09_D02_E63,E63,편안한,"['S09', 'D02']",A02,G01
Pro_03784,S06_D02_E13,E13,짜증내는,"['S06', 'D02']",A02,G01
Pro_03669,S05_D02_E18,E18,노여워하는,"['S05', 'D02']",A02,G01
Pro_12163,S11_D01_E52,E52,남의 시선을 의식하는,"['S11', 'D01']",A02,G01
Pro_12464,S13_D02_E53,E53,외로운,"['S13', 'D02']",A02,G01
Pro_10674,S11_D02_E63,E63,편안한,"['S11', 'D02']",A02,G01
Pro_01654,S01_D02_E43,E43,고립된,"['S01', 'D02']",A02,G01
Pro_03583,S04_D02_E52,E52,남의 시선을 의식하는,"['S04', 'D02']",A02,G01
Pro_03562,S04_D02_E31,E31,두려운,"['S04', 'D02']",A02,G01
Pro_07432,S10_D02_E61,E61,감사하는,"['S10', 'D02']",A02,G01
Pro_07056,S07_D02_E45,E45,"가난한, 불우한","['S07', 'D02']",A02,G01
Pro_10606,S11_D01_E55,E55,죄책감의,"['S11', 'D01']",A02,G01
Pro_12222,S11_D02_E51,E51,고립된(당황한),"['S11', 'D02']",A02,G01
Pro_03827,S06_D02_E56,E56,부끄러운,"['S06', 'D02']",A02,G01
Pro_05349,S06_D02_E18,E18,노여워하는,"['S06', 'D02']",A02,G01
Pro_01635,S01_D02_E24,E24,우울한,"['S01', 'D02']",A02,G01
Pro_03685,S05_D02_E34,E34,혼란스러운,"['S05', 'D02']",A02,G01
Pro_12185,S11_D02_E14,E14,방어적인,"['S11', 'D02']",A02,G01
Pro_05121,S04_D02_E30,E30,불안,"['S04', 'D02']",A02,G01
Pro_10621,S11_D02_E10,E10,분노,"['S11', 'D02']",A02,G01
Pro_08595,S07_D02_E24,E24,우울한,"['S07', 'D02']",A02,G01
Pro_03827,S06_D02_E56,E56,부끄러운,"['S06', 'D02']",A02,G01
Pro_10827,S13_D01_E36,E36,회의적인,"['S13', 'D01']",A02,G01
Pro_12224,S11_D02_E53,E53,외로운,"['S11', 'D02']",A02,G01
Pro_05241,S05_D02_E30,E30,불안,"['S05', 'D02']",A02,G01
Pro_05241,S05_D02_E30,E30,불안,"['S05', 'D02']",A02,G01
Pro_05393,S06_D02_E62,E62,신뢰하는,"['S06', 'D02']",A02,G01
Pro_05145,S04_D02_E54,E54,열등감,"['S04', 'D02']",A02,G01
Pro_05110,S04_D02_E19,E19,성가신,"['S04', 'D02']",A02,G01
Pro_03674,S05_D02_E23,E23,후회되는,"['S05', 'D02']",A02,G01
Pro_12372,S13_D01_E21,E21,실망한,"['S13', 'D01']",A02,G01
Pro_08871,S09_D02_E60,E60,기쁨,"['S09', 'D02']",A02,G01
Pro_11387,S04_D02_E56,E56,부끄러운,"['S04', 'D02']",A02,G01
